"id","Sentence","Aspect Term","polarity","from","to"
"7","Oh great, another update that slows everything down.","update","negative","11","17"
"1970","The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).","butter","negative","69","75"
"5","The laptop is light and fast but heats up under load.","laptop","positive","4","10"
"1970","The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).","meat","positive","135","139"
"2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.","sweet lassi","positive","4","15"
"2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.","lamb chettinad","positive","41","55"
"8","The waiter was polite, if you consider ignoring us polite.","waiter","negative","4","10"
"5","The laptop is light and fast but heats up under load.","laptop","negative","35","41"
"2361","To celebrate a birthday, three of us went to Mare anticipating great food.","food","neutral","69","73"
"1958","I especially like the keyboard which has chiclet type keys.","keyboard","positive","22","30"
"1972","It was hard to handle and operate at school.","handle","negative","15","21"
"1970","The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).","flavor","neutral","121","127"
"1972","It was hard to handle and operate at school.","operate","negative","26","33"
"1227","Bagels are ok, but be sure not to make any special requests!","Bagels","neutral","0","6"
"2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.","rasamalai","negative","84","93"
"4","The phone screen is bright, but the battery drains quickly.","battery","negative","38","45"
"1958","I especially like the keyboard which has chiclet type keys.","keys","positive","54","58"
"2969","The laptop was very easy to set up.","set up","positive","28","34"
"6","The wifi was slow, but at least it was free.","wifi","negative","4","8"
"1022","As well as having the plug in the computer come loose.","plug","negative","22","26"
"4","The phone screen is bright, but the battery drains quickly.","screen","positive","10","16"
"6","The wifi was slow, but at least it was free.","wifi","positive","39","43"
"1","The pizza was delicious.","pizza","positive","4","9"
"9","This phone could be worse, I guess that's something.","phone","neutral","5","10"
"3","The hotel room was clean.","room","positive","10","14"
"2500","While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.","menu","conflict","10","14"
"2882","The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.","garlic naan","positive","64","75"
"1970","The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).","steak","positive","4","9"
"2","The battery life is terrible.","battery life","negative","4","16"
"2879","My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.","work","negative","89","93"
